fp_id,s1,s2,s3,s4,s5,name
178,22,18,16,3,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/178.jpg
179,28,34,6,6,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/179.jpg
180,24,20,17,10,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/180.jpg
181,19,26,21,6,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/181.jpg
182,19,27,13,8,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/182.jpg
183,28,26,7,5,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/183.jpg
184,15,27,19,4,19,/home/mohammed/server/FMVLD/Impression_1/fp_1/184.jpg
185,10,22,12,5,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/185.jpg
186,34,20,16,5,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/186.jpg
187,20,15,13,10,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/187.jpg
188,24,27,13,6,4,/home/mohammed/server/FMVLD/Impression_1/fp_1/188.jpg
189,24,23,13,3,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/189.jpg
190,25,28,20,5,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/190.jpg
191,19,25,17,4,18,/home/mohammed/server/FMVLD/Impression_1/fp_1/191.jpg
192,20,22,9,2,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/192.jpg
193,19,28,15,6,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/193.jpg
194,20,25,13,12,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/194.jpg
195,19,36,17,7,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/195.jpg
196,15,17,12,5,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/196.jpg
197,24,27,14,5,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/197.jpg
198,20,28,14,8,4,/home/mohammed/server/FMVLD/Impression_1/fp_1/198.jpg
199,19,28,10,1,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/199.jpg
200,26,28,22,2,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/200.jpg
201,20,22,11,5,16,/home/mohammed/server/FMVLD/Impression_1/fp_1/201.jpg
